,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,FROM_YEAR,TO_YEAR,GREATEST_75_FLAG
161,1631367,Jacob Gilyard,1610612751,BKN,2022.0,2024.0,N
162,203497,Rudy Gobert,1610612750,MIN,2013.0,2024.0,N
163,1630692,Jordan Goodwin,1610612763,MEM,2021.0,2024.0,N
164,203932,Aaron Gordon,1610612743,DEN,2014.0,2024.0,N
165,201569,Eric Gordon,1610612755,PHI,2008.0,2024.0,N
166,1628984,Devonte' Graham,1610612759,SAS,2018.0,2023.0,N
167,203924,Jerami Grant,1610612757,POR,2014.0,2024.0,N
168,1631260,AJ Green,1610612749,MIL,2022.0,2024.0,N
169,201980,Danny Green,0,,2009.0,2023.0,N
170,203110,Draymond Green,1610612744,GSW,2012.0,2024.0,N
171,1630224,Jalen Green,1610612745,HOU,2021.0,2024.0,N
172,201145,Jeff Green,1610612745,HOU,2007.0,2024.0,N
173,1630182,Josh Green,1610612766,CHA,2020.0,2024.0,N
174,1631100,AJ Griffin,1610612745,HOU,2022.0,2024.0,N
175,1629656,Quentin Grimes,1610612742,DAL,2021.0,2024.0,N
176,1631243,Mouhamed Gueye,1610612737,ATL,2023.0,2024.0,N
177,1629060,Rui Hachimura,1610612747,LAL,2019.0,2024.0,N
178,1630169,Tyrese Haliburton,1610612754,IND,2020.0,2024.0,N
179,1630181,R.J. Hampton,0,,2020.0,2023.0,N
180,203501,Tim Hardaway Jr.,1610612765,DET,2013.0,2024.0,N
181,201935,James Harden,1610612746,LAC,2009.0,2024.0,Y
182,1630702,Jaden Hardy,1610612742,DAL,2021.0,2024.0,N
183,1631199,Ron Harper Jr.,1610612738,BOS,2022.0,2024.0,N
184,203914,Gary Harris,1610612753,ORL,2014.0,2024.0,N
185,203925,Joe Harris,0,,2014.0,2023.0,N
186,1630284,Kevon Harris,1610612753,ORL,2022.0,2023.0,N
187,202699,Tobias Harris,1610612765,DET,2011.0,2024.0,N
188,1628404,Josh Hart,1610612752,NYK,2017.0,2024.0,N
189,1628392,Isaiah Hartenstein,1610612760,OKC,2018.0,2024.0,N
190,1630573,Sam Hauser,1610612738,BOS,2021.0,2024.0,N
191,1641722,Jordan Hawkins,1610612740,NOP,2023.0,2024.0,N
192,1629637,Jaxson Hayes,1610612747,LAL,2019.0,2024.0,N
193,1630165,Killian Hayes,0,,2020.0,2023.0,N
194,202330,Gordon Hayward,1610612760,OKC,2010.0,2023.0,N
195,1630703,Scoot Henderson,1610612757,POR,2021.0,2024.0,N
196,1641707,Taylor Hendricks,1610612762,UTA,2023.0,2024.0,N
197,1629639,Tyler Herro,1610612748,MIA,2019.0,2024.0,N
198,1627741,Buddy Hield,1610612744,GSW,2016.0,2024.0,N
199,1629312,Haywood Highsmith,1610612748,MIA,2018.0,2024.0,N
200,1630207,Nate Hinton,1610612745,HOU,2020.0,2024.0,N
201,1641793,D'Moi Hodge,0,,2023.0,2023.0,N
202,1628988,Aaron Holiday,1610612745,HOU,2018.0,2024.0,N
203,201950,Jrue Holiday,1610612738,BOS,2009.0,2024.0,N
