"Player","eFG.","TRB","AST","STL","BLK","PTS","PER","USG.","WS","BPM","VORP","POS","AGE","PREV_CONT"
"Jae Crowder",0.53,3.2,1.3,0.8,0.2,6.2,8.9,11.5,1.6,-2.6,-0.2,"SF",33.9,"$3,196,448.00"
"Jae'Sean Tate",0.522,3,1,0.6,0.2,4.1,9.3,11.7,1.8,-2.3,-0.1,"SF",28.6,"$6,876,811.00"
"Jalen Slawson",0.667,0.6,0.2,0.1,0.1,0.7,6.6,9.2,0,-6.4,0,"PF",24.6,"$0.00"
"Jalen Smith",0.67,5.5,1,0.3,0.6,9.9,20.7,19.4,4,2.4,1.2,"PF",24.2,"$5,043,773.00"
"Jamal Cain",0.5,1.4,0.4,0.4,0.2,3.7,11.5,16.7,0.5,-2.3,0,"SF",25.2,"$0.00"
"James Harden",0.541,5.1,8.5,1.1,0.8,16.6,18.6,20.6,8.4,4.1,3.8,"SG",34.8,"$34,320,000.00"
"James Johnson",0.3,0.4,0.9,0.6,0.1,0.9,5,14.2,0,-5.8,0,"PF",37.2,"$1,230,816.00"
"James Wiseman",0.613,5.3,0.9,0.2,0.6,7.1,14.8,16.3,2.1,-3.5,-0.4,"C",23.2,"$9,904,960.00"
"Jared Rhoden",0.591,1.9,0.8,0.2,0.8,4.9,10.3,13.3,0.3,-2.5,0,"SG",24.8,"$0.00"
"JaVale McGee",0.602,2.7,0.4,0.3,0.4,4,19,23.4,0.7,-1.3,0.1,"C",36.3,"$3,196,448.00"
"Javonte Green",0.667,7.4,0.6,1.1,0.9,12.2,20.2,16.7,0.9,2,0.2,"SG",30.8,"$136,868.00"
"Jaxson Hayes",0.72,3,0.5,0.5,0.4,4.3,14,12.5,2.5,-1.9,0,"C",24,"$2,314,473.00"
"Jay Huff",0.7,0.6,0.1,0.1,0.2,1.2,18.5,15,0.2,1.3,0,"C",25.8,"$0.00"
"JD Davison",0.542,1.3,1.3,0.1,0.1,2,18.8,17.6,0.2,3.3,0.1,"PG",21.7,"$0.00"
"Jeenathan Williams",0.56,1,0.3,0.2,0,2.9,15.6,19.7,0.3,-1.6,0,"SG",25.3,"$0.00"
"Jeff Dowtin",0.681,1.7,2.3,0.6,0.1,4.3,18.2,13,0.6,3.3,0.2,"PG",27.1,"$1,162,327.00"
"Jeff Green",0.529,2.3,0.9,0.2,0.4,6.5,11.3,15.5,2.6,-2.1,0,"PF",37.8,"$8,000,000.00"
"Jeremiah Robinson-Earl",0.542,1.9,0.5,0.3,0.1,2.9,11.8,15.4,0.6,-2.2,0,"PF",23.6,"$1,422,907.00"
"Jericho Sims",0.691,3.3,0.6,0.2,0.4,2,10.9,6,1.5,-1.8,0,"C",25.6,"$1,886,069.00"
"Jermaine Samuels",0.643,0.9,0.2,0.1,0.1,1.4,15.1,10.5,0.2,0.8,0,"SF",25.5,"$0.00"
"Jerome Robinson",0.364,0.3,0.2,0,0.1,1.4,5.7,20.7,-0.1,-8.3,-0.1,"SG",27.2,"$0.00"
"Joe Ingles",0.59,2.1,3,0.6,0.1,4.4,10.6,11.6,2.6,-0.5,0.5,"SF",36.7,"$11,000,000.00"
"Jonas Valanciunas",0.585,8.8,2.1,0.4,0.8,12.2,19.8,20.8,7.1,1.2,1.6,"C",32.1,"$15,067,500.00"
"Jontay Porter",0.481,3.2,2.3,0.8,0.8,4.4,14.9,15.8,0.7,1.7,0.3,"PF",24.5,"$0.00"
"Jordan Ford",0.714,0.3,0.3,0,0,2,16.8,17.3,0.1,2.2,0,"PG",26,"$0.00"
"Jordan Goodwin",0.424,4.4,2.7,0.8,0.3,6.5,12.6,19,1.2,-1,0.3,"PG",25.6,"$11,608.00"
"Jordan McLaughlin",0.628,1.3,2,0.6,0.1,3.5,15.5,12.1,2.5,4.2,1,"PG",28.2,"$2,160,000.00"
"Jordan Nwora",0.535,2.9,1.2,0.5,0.3,7,13.7,22.4,0.5,-2.5,-0.1,"SF",25.8,"$2,900,000.00"
"Jose Alvarado",0.525,2.3,2.1,1.1,0.3,7.1,12.5,17.3,2.1,-0.1,0.5,"PG",26.2,"$1,722,053.00"
"Josh Okogie",0.488,2.6,1.1,0.8,0.4,4.6,12,13,2.1,-0.5,0.4,"SG",25.8,"$2,886,336.00"
"Josh Richardson",0.539,2.8,2.4,0.6,0.3,9.9,11.4,16.5,2.1,-1.3,0.2,"SG",30.7,"$2,971,310.00"
"JT Thor",0.514,2.3,0.5,0.2,0.4,3.2,9.1,11.7,0.6,-4.5,-0.5,"PF",21.8,"$1,659,553.00"
"Justin Holiday",0.595,1.2,1.2,0.6,0.2,4,9.7,10.6,1.8,-1.6,0.1,"SG",35.2,"$3,196,448.00"
"Justin Minaya",0.378,1.6,0.6,0.3,0.3,1.8,5.8,9.7,0.1,-5.6,-0.3,"F",25.2,"$0.00"
