"Player","eFG.","TRB","AST","STL","BLK","PTS","PER","USG.","WS","BPM","VORP","POS","AGE","PREV_CONT"
"Nic Claxton",0.63,9.9,2.1,0.6,2.1,11.8,18.7,15.6,6.7,1.2,1.7,"C",25.1,"$8,625,000.00"
"Nicolas Batum",0.596,4.1,2.1,0.8,0.6,5.3,10.2,8.6,3.3,-0.4,0.6,"SF",35.4,"$11,277,084.00"
"Obi Toppin",0.661,3.9,1.6,0.6,0.5,10.3,16.5,16.8,4.8,1.5,1.5,"PF",26.2,"$5,529,623.00"
"OG Anunoby",0.577,4.2,2.1,1.4,0.7,14.7,12.8,17.6,2.6,-0.6,0.6,"SF",26.8,"$18,000,000.00"
"Olivier Sarr",0.632,2.4,0.1,0,0.5,2.3,14.8,12.7,0.4,-2.6,0,"C",25.2,"$0.00"
"Oscar Tshiebwe",0.5,2,0.3,0.3,0.1,3.3,24.8,23.5,0.2,2.2,0,"PF",24.5,"$0.00"
"Oshae Brissett",0.493,2.9,0.8,0.3,0.1,3.7,12.8,14.5,1.7,-1.8,0,"SF",25.9,"$2,314,473.00"
"P.J. Tucker",0.49,2.7,0.5,0.5,0.2,1.7,5.9,5.3,0.7,-3.6,-0.2,"PF",39.1,"$11,014,500.00"
"Pascal Siakam",0.569,7.1,4.3,0.8,0.3,21.7,19.7,25.3,6.9,1.9,2.7,"PF",30.2,"$34,226,304.00"
"Patrick Beverley",0.497,3.3,2.9,0.6,0.4,6.2,11.6,14.3,2.7,-1.1,0.3,"PG",35.9,"$3,196,448.00"
"Patrick Williams",0.525,3.9,1.5,0.9,0.8,10,11,16.6,1.2,-2.3,-0.1,"SF",22.8,"$8,025,410.00"
"Patty Mills",0.443,1.1,1.1,0.6,0,4,7.2,15.9,0.1,-4.6,-0.3,"PG",35.8,"$734,816.00"
"Paul George",0.569,5.2,3.5,1.5,0.5,22.6,19.3,26.6,7.3,3.2,3.3,"SG",34.1,"$44,066,367.00"
"Pete Nance",0.25,0.4,0,0.1,0,0.4,-3.9,12.9,-0.1,-15.2,-0.1,"PF",24.2,"$6,434.00"
"Precious Achiuwa",0.529,6.6,1.3,0.6,0.9,7.6,14.6,15.9,3.4,-1.4,0.2,"PF",24.7,"$3,128,282.00"
"Quenton Jackson",0,1.3,0.7,0.3,0,0.7,16.1,7.2,0,3.3,0,"G",25.7,"$0.00"
"Reggie Bullock",0.579,1.7,0.3,0.3,0.1,2.2,7.7,9.4,0.6,-2.4,0,"SF",33.2,"$3,196,448.00"
"Reggie Jackson",0.499,1.9,3.8,0.5,0.2,10.2,11.7,21.7,2.1,-3.2,-0.6,"PG",34.1,"$5,125,000.00"
"Richaun Holmes",0.561,4.6,0.6,0.3,0.5,5,14.5,14.7,1.3,-3.3,-0.2,"C",30.6,"$11,630,640.00"
"Robert Covington",0.536,3.3,0.8,1.3,0.6,4.4,13.6,10.7,1.5,2.2,0.5,"PF",33.4,"$12,000,000.00"
"Royce O'Neale",0.542,4.8,2.8,0.7,0.6,7.7,11.1,13.9,3.4,0,1,"SF",31,"$9,000,000.00"
