FreeAgent,Position,Contract,FA_Year,Years,AVG_SALARY
Lonnie Walker IV,SF,6500000.0,2022,1.0,6500000.0
Dewayne Dedmon,C,9000000.0,2022,2.0,4500000.0
Amir Coffey,SG,11000000.0,2022,3.0,3666666.6666666665
Danuel House Jr.,SF,8500000.0,2022,2.0,4250000.0
Ricky Rubio,PG,18400000.0,2022,3.0,6133333.333333333
Kevin Knox II,SF,6000000.0,2022,2.0,3000000.0
Delon Wright,SG,16000000.0,2022,2.0,8000000.0
Bruce Brown,SF,13000000.0,2022,2.0,6500000.0
Andre Drummond,C,6600000.0,2022,2.0,3300000.0
Caleb Martin,SF,20000000.0,2022,3.0,6666666.666666667
Derrick Jones Jr.,SF,6600000.0,2022,2.0,3300000.0
Cody Martin,SG,32000000.0,2022,4.0,8000000.0
