ID,Name,Position,AVG_SALARY,FA_Year,Prev_Season
204456.0,T.J. McConnell,PG,8800000.0,2021,2020-21
1626145.0,Tyus Jones,PG,15000000.0,2022,2021-22
1626149.0,Montrezl Harrell,C,9500000.0,2020,2019-20
1626153.0,Delon Wright,SG,8000000.0,2022,2021-22
1626156.0,D'Angelo Russell,PG,18500000.0,2023,2022-23
1626158.0,Richaun Holmes,C,13750000.0,2021,2020-21
1626161.0,Willie Cauley-Stein,C,4100000.0,2020,2019-20
1626162.0,Kelly Oubre Jr.,SG,12500000.0,2021,2020-21
1626166.0,Cameron Payne,PG,6333333.333333333,2021,2020-21
1626168.0,Trey Lyles,PF,2500000.0,2021,2020-21
1626168.0,Trey Lyles,PF,8000000.0,2023,2022-23
1626171.0,Bobby Portis,C,3750000.0,2020,2019-20
1626171.0,Bobby Portis,C,4500000.0,2021,2020-21
1626171.0,Bobby Portis,PF,12250000.0,2022,2021-22
1626172.0,Kevon Looney,C,8500000.0,2022,2021-22
1626174.0,Christian Wood,PF,13666666.666666666,2020,2019-20
1626181.0,Norman Powell,SG,18000000.0,2021,2020-21
1626192.0,Pat Connaughton,SG,5333333.333333333,2020,2019-20
1626196.0,Josh Richardson,SF,3000000.0,2023,2022-23
1627736.0,Malik Beasley,SG,15000000.0,2020,2019-20
1627739.0,Kris Dunn,PG,5000000.0,2020,2019-20
1627742.0,Brandon Ingram,SF,31600000.0,2020,2019-20
1627747.0,Caris LeVert,SG,16000000.0,2023,2022-23
1627751.0,Jakob Poeltl,C,9000000.0,2020,2019-20
1627751.0,Jakob Poeltl,C,20000000.0,2023,2022-23
1627752.0,Taurean Prince,SF,4500000.0,2023,2022-23
1627756.0,Denzel Valentine,SF,4700000.0,2020,2019-20
1627777.0,Georges Niang,SF,3350000.0,2021,2020-21
1627777.0,Georges Niang,PF,8666666.666666666,2023,2022-23
1627780.0,Gary Payton II,SG,9333333.333333334,2022,2021-22
1627788.0,Furkan Korkmaz,SG,5000000.0,2021,2020-21
1627823.0,Juancho Hernangomez,PF,7000000.0,2020,2019-20
1627832.0,Fred VanVleet,PG,21250000.0,2020,2019-20
1627832.0,Fred VanVleet,PG,43333333.333333336,2023,2022-23
1627846.0,Abdel Nader,SF,2100000.0,2021,2020-21
1627863.0,Danuel House Jr.,SF,4250000.0,2022,2021-22
1627884.0,Derrick Jones Jr.,PF,9500000.0,2020,2019-20
1627884.0,Derrick Jones Jr.,SF,3300000.0,2022,2021-22
1627936.0,Alex Caruso,PG,37000000.0,2021,2020-21
1628021.0,David Nwaba,SF,5000000.0,2021,2020-21
1628366.0,Lonzo Ball,PG,21250000.0,2021,2020-21
1628370.0,Malik Monk,SG,9500000.0,2022,2021-22
1628374.0,Lauri Markkanen,PF,16750000.0,2021,2020-21
1628380.0,Zach Collins,PF,7333333.333333333,2021,2020-21
1628381.0,John Collins,PF,25000000.0,2021,2020-21
1628386.0,Jarrett Allen,C,20000000.0,2021,2020-21
1628392.0,Isaiah Hartenstein,C,8000000.0,2022,2021-22
1628398.0,Kyle Kuzma,PF,25500000.0,2023,2022-23
1628404.0,Josh Hart,SF,12666666.666666666,2021,2020-21
1628415.0,Dillon Brooks,SF,20000000.0,2023,2022-23
1628418.0,Thomas Bryant,C,2700000.0,2023,2022-23
1628422.0,Damyean Dotson,SG,2000000.0,2020,2019-20
1628425.0,Sterling Brown,SF,3100000.0,2021,2020-21
1628449.0,Chris Boucher,C,6750000.0,2020,2019-20
1628449.0,Chris Boucher,C,11766666.666666666,2022,2021-22
1628464.0,Daniel Theis,C,9000000.0,2021,2020-21
1628470.0,Torrey Craig,SF,5000000.0,2021,2020-21
1628963.0,Marvin Bagley III,PF,12333333.333333334,2022,2021-22
1628964.0,Mo Bamba,C,10500000.0,2022,2021-22
1628966.0,Keita Bates-Diop,SF,2500000.0,2023,2022-23
1628970.0,Miles Bridges,PF,7900000.0,2023,2022-23
1628971.0,Bruce Brown,UTIL,4700000.0,2021,2020-21
1628971.0,Bruce Brown,SF,6500000.0,2022,2021-22
1628971.0,Bruce Brown,SF,22500000.0,2023,2022-23
1628972.0,Troy Brown Jr.,SF,4000000.0,2023,2022-23
