team,year,Name,Season,isAllStar
CLE,2017,LeBron James,2017-18,1
GSW,2017,Kevin Durant,2017-18,1
OKC,2017,Russell Westbrook,2017-18,1
BOS,2017,Kyrie Irving,2017-18,1
NOP,2017,Anthony Davis,2017-18,1
OKC,2017,Paul George,2017-18,1
DET,2017,Andre Drummond,2017-18,1
WAS,2017,Bradley Beal,2017-18,1
IND,2017,Victor Oladipo,2017-18,1
CHO,2017,Kemba Walker,2017-18,1
MIA,2017,Goran Dragic,2017-18,1
SAS,2017,LaMarcus Aldridge,2017-18,1
HOU,2017,James Harden,2017-18,1
TOR,2017,DeMar DeRozan,2017-18,1
GSW,2017,Stephen Curry,2017-18,1
MIL,2017,Giannis Antetokounmpo,2017-18,1
PHI,2017,Joel Embiid,2017-18,1
TOR,2017,Kyle Lowry,2017-18,1
GSW,2017,Klay Thompson,2017-18,1
POR,2017,Damian Lillard,2017-18,1
GSW,2017,Draymond Green,2017-18,1
MIN,2017,Karl-Anthony Towns,2017-18,1
BOS,2017,Al Horford,2017-18,1
LAL,2018,LeBron James,2018-19,1
HOU,2018,James Harden,2018-19,1
GSW,2018,Kevin Durant,2018-19,1
BOS,2018,Kyrie Irving,2018-19,1
TOR,2018,Kawhi Leonard,2018-19,1
POR,2018,Damian Lillard,2018-19,1
GSW,2018,Klay Thompson,2018-19,1
WAS,2018,Bradley Beal,2018-19,1
PHI,2018,Ben Simmons,2018-19,1
MIN,2018,Karl-Anthony Towns,2018-19,1
SAS,2018,LaMarcus Aldridge,2018-19,1
MIA,2018,Dwyane Wade,2018-19,1
NOP,2018,Anthony Davis,2018-19,1
GSW,2018,Stephen Curry,2018-19,1
MIL,2018,Giannis Antetokounmpo,2018-19,1
OKC,2018,Paul George,2018-19,1
PHI,2018,Joel Embiid,2018-19,1
CHO,2018,Kemba Walker,2018-19,1
MIL,2018,Khris Middleton,2018-19,1
DET,2018,Blake Griffin,2018-19,1
OKC,2018,Russell Westbrook,2018-19,1
DEN,2018,Nikola Jokic,2018-19,1
TOR,2018,Kyle Lowry,2018-19,1
BRK,2018,D'Angelo Russell,2018-19,1
ORL,2018,Nikola Vucevic,2018-19,1
DAL,2018,Dirk Nowitzki,2018-19,1
LAC,2019,Kawhi Leonard,2019-20,1
LAL,2019,Anthony Davis,2019-20,1
LAL,2019,LeBron James,2019-20,1
HOU,2019,James Harden,2019-20,1
DAL,2019,Luka Doncic,2019-20,1
PHI,2019,Ben Simmons,2019-20,1
HOU,2019,Russell Westbrook,2019-20,1
OKC,2019,Chris Paul,2019-20,1
PHO,2019,Devin Booker,2019-20,1
IND,2019,Domantas Sabonis,2019-20,1
BOS,2019,Jayson Tatum,2019-20,1
DEN,2019,Nikola Jokic,2019-20,1
MIL,2019,Giannis Antetokounmpo,2019-20,1
BOS,2019,Kemba Walker,2019-20,1
PHI,2019,Joel Embiid,2019-20,1
TOR,2019,Pascal Siakam,2019-20,1
ATL,2019,Trae Young,2019-20,1
TOR,2019,Kyle Lowry,2019-20,1
MIL,2019,Khris Middleton,2019-20,1
UTA,2019,Rudy Gobert,2019-20,1
UTA,2019,Donovan Mitchell,2019-20,1
MIA,2019,Jimmy Butler,2019-20,1
